nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0173353,Marius Colucci,1976.0,,"actor,producer","tt1309388,tt1349600,tt2070776,tt6269080",Inconnu,1976-10-16,,550033.0,Acting,"Paris,France",0.8084,https://image.tmdb.org/t/p/w500//5HoLCK4XxPnyuBcXFY6Xlla9RN4.jpg
nm0173354,Coluche,1944.0,1986.0,"actor,miscellaneous,writer","tt0086420,tt0076897,tt0086989,tt0082726","Michel Gérard Joseph Colucci (28 October 1944 – 19 June 1986), better known under his stage name Coluche, was a French stage comedian and cinema actor. He adopted Coluche as a stage name at age 26, when he began his entertainment career. He became known for his irreverent attitude towards politics and the establishment, and he incorporated this into much of his material. He was one of the first major comedians to regularly use profanities as a source of humor on French television. He also founded the charity ""Les Restaurants du Coeur"" which still provides free meals and other products to people in need.

Colucci was born on 28 October 1944, just weeks after the Liberation of Paris, in a hospital in the 14th arrondissement of the city. His mother, Simone Bouyer (called ""Monette""), worked as a florist in the Boulevard du Montparnasse. His father, Honorio Colucci, from Casalvieri in Lazio, Italy, was a painter and decorator. His father died in 1947 at age 31 from poliomyelitis; his wife struggled thereafter to raise the young Michel and his sister (Danièle, 18 months older than Michel) on a meagre salary.

Coluche showed little promise at school, and left after completing his primary studies (June 1958). He tried various temporary jobs, and had several run-ins with authorities. During this time his mother bought him a guitar, which he taught himself to play. In 1964 he joined the 60th Infantry Regiment de Lons-le-Saunier, but was imprisoned for insubordination. On his return to civilian life, he worked in his mother's florist shop which she had been able to open on rue d'Aligre, and later in a larger shop which she opened near la Gare de Lyon. He found this work dull, and suddenly quit, which caused a long-lasting breach with his mother.

At the end of the 1960s he tried his luck as a singer in cafes, then turned to comedy.

In 1969, with Romain Bouteille he was present at the start of the Café de la Gare, meeting place of a group of young comedic actors practically all of whom were to become famous: Patrick Dewaere, Henri Guybet, Miou-Miou, Martin Lamotte, etc. Among the patrons of the Café de la Gare were Georges Moustaki, Raymond Devos, Jean Ferrat, Jacques Brel, Leni Escudero, Pierre Perret and Jean Yanne. Later they were joined by Gérard Lanvin, Renaud, Rufus, Diane Kurys, Coline Serreau, Anémone, Gérard Depardieu, Thierry Lhermitte, Josiane Balasko and Gérard Jugnot.

Coluche's first sketch C'est l'histoire d'un mec (It's the story of a guy) was about the difficulties of telling a funny story. He quickly found success, but alcohol problems forced him to leave the group.

He went on to found another group, Le vrai chic parisien (The true Parisian chic) and it was then that he met his future wife, Véronique Kantor. They married in 1975 and had two sons, Marius and Romain Colucci. His behaviour and addictions forced him to leave the new group and launch his solo career.

It was at this point that he began to dress in his well-known outfit of white tennis shoes, blue striped overalls, a bright yellow T-shirt and round glasses. He became famous with his parody of a TV game (Le Schmilblick). He was sacked by the radio stations Europe 1 and Radio Monte Carlo for vulgarity. ...

Source: Article ""Coluche"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1944-10-28,1986-06-19,11214.0,Acting,"Paris, France",1.4553,https://image.tmdb.org/t/p/w500//jt3Pb213mNL1TmRTIzaXRoZoL5H.jpg
nm0173394,Laurence Colussi,,,actress,"tt0380349,tt0291538,tt0293116,tt1056434",Inconnu,1969-04-05,,401125.0,Acting,"Amiens, Somme, France",0.115,https://image.tmdb.org/t/p/w500//AiFcmTiujcWU9SwUJ5sfSTVRUWf.jpg
nm0173399,Francesca Romana Coluzzi,1943.0,2009.0,"actress,stunts,archive_footage","tt0067932,tt0089893,tt0384766,tt0068626",Inconnu,1943-05-20,2009-07-15,51840.0,Acting,"Tirana, Albania",1.4988,https://image.tmdb.org/t/p/w500//xY0qnTCvgPXircEL8jG9bLOqc93.jpg
nm0173541,Etienne Comar,1965.0,,"producer,writer,director","tt1588337,tt3409392,tt6247936,tt13038218","Étienne Comar (born 25 January 1965) is a French film producer, screenwriter and film director. He is known for producing the films Of Gods and Men (2010) and Timbuktu (2014), for which he won the César Award for Best Film as producer in 2011 and 2015. In 2017, his directorial debut Django was selected to open the 67th Berlin International Film Festival.

Source: Article ""Étienne Comar"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1965-01-25,,74117.0,Production,"Paris, France",1.1239,https://image.tmdb.org/t/p/w500//9NLCxP4DJLsmJC7dqcQsG6DJym.jpg
nm0173548,Jean-Paul Comart,1953.0,,"actor,director,writer","tt0083611,tt0088637,tt1002920,tt9346596",Inconnu,1953-09-23,,123609.0,Acting,"Tournai, Belgium",0.6089,https://image.tmdb.org/t/p/w500//7H5IFFrTFCmHFYhSCII0MCsf3RY.jpg
nm0173585,Muriel Combeau,,,actress,"tt0260036,tt1533813,tt3451360,tt14995258",Inconnu,1966-05-14,,261238.0,Acting,"Saint-Germain-en-Laye, Yvelines, France",0.5227,https://image.tmdb.org/t/p/w500//cWxjDglLFdSi8Wh7WTGgxKRBoHs.jpg
nm0173868,Élisabeth Commelin,1954.0,,actress,"tt0241303,tt0113117,tt0450188,tt0115070",actrice française.,1954-06-02,,5318.0,Acting,"Paris, France",0.9621,https://image.tmdb.org/t/p/w500//bDnIJ1c0WUPdXKNecIQmMoeNa3u.jpg
nm0173916,Jean-Louis Comolli,1941.0,2022.0,"director,writer,actor","tt0072772,tt0264560,tt0082844,tt0083614","Jean-Louis Comolli is a French filmmaker, screenwriter and writer, born in 1941 in Philippeville (now Skikda, Algeria). After working for Les Cahiers du Cinéma from 1962 to 1978, of which he was editor in chief from 1966 to 1971, he became a director of fiction and documentaries. Also a journalist for Jazz Magazine, he has co-written or edited several books on jazz. His multiple works and his theoretical thinking on cinema have nourished many filmmakers and documentary lovers. He died on May 19, 2022.",1941-07-30,2022-05-19,548814.0,Directing,"Philippeville - Constantine - France - [now Skikda, Algeria]",0.8033,https://image.tmdb.org/t/p/w500//jAglwT3DJjmXKe5cVQc28jQhRn2.jpg
nm0174261,Georges Conchon,1925.0,1990.0,"writer,actor,archive_footage","tt0078338,tt0073685,tt0062310,tt0077779","Georges Conchon (9 May 1925 in St. Avitus (Puy-de-Dôme) – 29 July 1990) was a French writer and screenwriter.

He grew up in a family of teachers, and after graduating in philosophy, passed the support of the parliamentary and between the Assembly French Union where he was division head from 1952 to 1958. He began writing, while traveling extensively, notably in Africa. He became secretary in 1960 debates in the Senate until 1980. He was journalist and novelist, he began his career as a scriptwriter in 1967.

His first published novel will be Les Grandes Lessives in 1953, followed by Chemins écartés. He is then hired by Pierre Lazareff to France-Soir as a journalist. This experience led to L'État sauvage, which earned him the Prix Goncourt in 1964.

Before the Goncourt, he had received the Fénéon in 1956, then the Booksellers prize in 1960 for La Corrida de la victoire.

As a screenwriter, his record is brilliant, including L'Horizon (directed by Jacques Rouffio 1967), Sept Morts sur ordonnance (J. Rouffio 1976), La Victoire en chantant (Jean-Jacques Annaud 1976), Judith Therpauve (Patrice Chéreau, 1978), La Banquière (Francis Girod 1980). It also works in television, directing A2 on a collection of films and with the launch of the series Châteauvallon. Some of his books were made into movies, including The Savage State and Le sucre by Jacques Rouffio.

His last film collaboration scenario has been devoted to the history of the famous assassin of the nineteenth century, Lacenaire. Directed by Francis Girod, the film was released in theaters in 1990.

He was Chevalier de la Legion of Honour and an Officer of the Order of Merit and Arts and Letters, and was politically active at PSU and then the Socialist Party.

Source: Article ""Georges Conchon"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1925-05-09,1990-07-29,38355.0,Writing,"Saint-Avit, Puy-de-Dôme, France",0.56,https://image.tmdb.org/t/p/w500//g40lD7nLtqv5azklmkkrGYiL1Jk.jpg
nm0174302,Marie-Sohna Condé,,,"actress,soundtrack","tt1605783,tt1588335,tt0325948,tt0436445",Inconnu,1971-01-01,,7284.0,Acting,"Abidjan, Ivory Coast",0.4142,https://image.tmdb.org/t/p/w500//8ByKJc0Qc1TaRg61X95MWir8UbG.jpg
nm0174590,Claude Confortès,1928.0,2016.0,"actor,director,writer","tt0091736,tt0088358,tt0083005,tt0063771","Claude Confortès (28 February 1928 – 15 June 2016) was a French director for stage and film and actor. As an actor, he starred in Yves Robert's War of the Buttons (La Guerre des boutons) in 1962, and played a supporting role in Germinal in 1993.

Source: Article ""Claude Confortès"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1928-02-28,2016-06-15,1078953.0,Acting,"Saint-Maur-des-Fossés, Val-de-Marne, France",0.4807,https://image.tmdb.org/t/p/w500//rrFDfe8cVltdKibwvmjQf9IqbRY.jpg
nm0174657,Jean de Coninck,1943.0,2024.0,actor,"tt0482088,tt0279581,tt0167616,tt0137320",Inconnu,,,28174.0,Acting,Inconnu,0.1505,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0175783,Malcolm Conrath,1971.0,,"actor,writer","tt0341588,tt0099406,tt0819852,tt1002920",Inconnu,1971-01-01,,262738.0,Acting,Inconnu,0.4246,https://image.tmdb.org/t/p/w500//tdzPiz3PwD6Yqb2T75IwtmAaO57.jpg
nm0175931,Anne Consigny,1963.0,,"actress,director,cinematographer","tt3716530,tt6938828,tt0401383,tt0808339","Anne Consigny is a French film and television actress, best known for her feature film roles of Françoise in ""Je ne suis pas là pour être aimé"" as well as Claude in ""The Diving Bell and the Butterfly"".",1963-05-26,,7276.0,Acting,"Alençon, Orne, France",1.8471,https://image.tmdb.org/t/p/w500//zO3kxij0mkvCJH8XxuoAOv9LDMw.jpg
nm0176039,Michel Constantin,1924.0,2003.0,"actor,archive_footage","tt0054407,tt0060305,tt0067237,tt0238330","Michel Constantin (born Constantin Hokhloff, 13 July 1924 – 29 August 2003) was a French film actor.

Born to a Russian father and a Polish mother in Billancourt (near Paris), Constantin made his first film appearance in 1956. His first credited role was in the prison breakout drama Le Trou (aka The Hole) in 1960.

Source: Article ""Michel Constantin"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1924-07-13,2003-08-29,24495.0,Acting,"Boulogne-Billancourt, Hauts-de-Seine, France",1.1883,https://image.tmdb.org/t/p/w500//A9rrvk2DkpCcE2LJ18NhCEv6Wfa.jpg
nm0176061,Eddie Constantine,1913.0,1993.0,"actor,cinematographer,composer","tt0058898,tt0081070,tt0045617,tt0101307","Eddie Constantine  (born Edward Constantinowsky; October 29, 1917, Los Angeles, California – February 25, 1993, Wiesbaden, Germany) was an American-born French actor and singer who spent his career working in Europe.

He became well-known for a series of French B movies in which he played secret agent Lemmy Caution and is now best remembered for his role in Jean-Luc Godard's philosophical science fiction film Alphaville.

Constantine also appeared in films by Rainer Werner Fassbinder (as himself in Beware of a Holy Whore 1971), Lars von Trier, and Mika Kaurismäki. He continued reprising the role of Lemmy Caution well into his 70s; his final appearance as the character was in Jean-Luc Godard's Allemagne année 90 neuf zéro (1991).

Description above from the Wikipedia article Eddie Constantine, licensed under CC-BY-SA, full list of contributors on Wikipedia",1917-10-29,1993-02-25,19794.0,Acting,"Los Angeles, California, USA",1.4538,https://image.tmdb.org/t/p/w500//rhxMbjrygEvvxOKJIGiSeXntTN5.jpg
nm0176155,Dominique Constanza,1948.0,2013.0,actress,"tt0085378,tt1570394,tt0070007,tt0071864",Inconnu,1948-04-29,2013-06-23,437414.0,Acting,"Paris, France",0.4964,https://image.tmdb.org/t/p/w500//4PHwJN4uv9GPUNC9g0emhTZUlNq.jpg
nm0176244,Louise Conte,1923.0,1995.0,"actress,miscellaneous,archive_sound","tt0039215,tt0277509,tt1482178,tt0369246",Inconnu,1923-07-25,1995-10-19,1123290.0,Acting,"Enghien-les-Bains, Val-d'Oise, France",0.3065,https://image.tmdb.org/t/p/w500//fy5erDVyxjgCQfntQcpJp0qax49.jpg
nm0178785,Alec Coppel,1907.0,1972.0,"writer,miscellaneous","tt0052357,tt0045607,tt0047072,tt0044928","Alec Coppel (17 September 1907 – 22 January 1972) was an Australian-born screenwriter, novelist and playwright. He spent most of his career in London and Hollywood, specialising in light thrillers, mysteries and sex comedies. He is best known for the films Vertigo(1958), The Captain's Paradise (1953), Mr Denning Drives North (1951) and Obsession (1949), and the plays I Killed the Count and The Gazebo.

Description above from the Wikipedia article Alec Coppel, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1907-09-17,1972-01-22,5735.0,Writing,"Melbourne, Australia ",1.1301,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0179123,Loïc Corbery,1976.0,,"actor,soundtrack","tt3489470,tt4875774,tt0176393,tt0778547","Originally from Avignon, he quickly discovered the theater thanks to his parents (his father was an engineer and his mother a professor of literature). At the age of six, he accidentally met Agnès Varda, who cast him in the short film she was shooting in Avignon at the time. The short film is called 7 rooms kitchen and bathroom.

After his baccalaureate, he left for Paris to follow theatrical studies at the Périmony course. He then joined the National Conservatory of Dramatic Art, where he studied from 1997 to 2000, in the classes of Stuart Seide and Jacques Lassalle.

In 2003, he played in Le jour du destin and won a nomination for the Molières 2004 for male theatrical revelation. In addition to the theatre, he can be seen in several French television series, most often for an episode, but he also held recurring roles, such as in the series Commissaire Valence, broadcast on TF1, with Bernard Tapie in the title role.

Loïc Corbery receiving the Swann d'Or at the 2014 Cabourg Film Festival.

He joined the Comédie-Française in 2005, where he was particularly noticed for his interpretations in Le Cid by Pierre Corneille, directed by Brigitte Jaques and The Taming of the Shrew by Shakespeare, directed by Oskaras Koršunovas. He became a member in 2010.

The artistic direction of the tribute to Molière was entrusted to him in 2009.",1976-06-09,,83845.0,Acting,"Avignon, France",0.6455,https://image.tmdb.org/t/p/w500//iAGGz3Z7v2Us45kLhKSnow63IjC.jpg
nm0179366,Jérôme Corcos,,,"producer,actor,writer","tt5114984,tt8413714,tt4857596,tt17049070",Inconnu,1966-11-15,,1818673.0,Writing,Inconnu,0.1681,https://image.tmdb.org/t/p/w500//5cTA00b1eeB602dsKGQlpiX6feJ.jpg
nm0179684,Annie Cordy,1928.0,2020.0,"actress,soundtrack,archive_footage","tt3519272,tt0066906,tt0049050,tt0051573","Léonie Juliana, Baroness Cooreman (16 June 1928 – 4 September 2020), also known by her stage name Annie Cordy, was a Belgian actress and singer. She appeared in more than 50 films from 1954 and staged many memorable appearances at Bruno Coquatrix' famous Paris Olympia. Her version of ""La Ballade de Davy Crockett"" was number 1 in the charts for five weeks in France in August 1956. She was born in Laeken, Belgium, where in 2004, King Albert II of Belgium bestowed upon her the title of Baroness in recognition for her life's achievements.

Cordy was born in the Brussels suburb of Laken, Belgium, the daughter of Maria de Leeuw and Cornelius January Cooreman. She had a brother, Louis, and a sister, Jeanne.

At the age of eight, her mother enrolled her in a dance class. She learned piano and music theory, while pursuing her studies, and participated in charity galas. Between the dance numbers, she sang the hits of the day. Artistic director of Le Lido encouraged her to leave Brussels, her hometown, and Annie Cordy arrived in Paris on 1 May 1950, to be hired as a lead dancer.

Cordy recorded her first songs in 1952 (""Les Trois Bandits de Napoli"", ""Quand c'est aux autos de passer"", ""La bourrée d'Auvergne montagnarde"") and made her debut in the musical, ""La Route fleurie"", alongside Georges Guétary and Bourvil. This lasted until 1955.

Then she made her film debut in 1953 when she appeared as herself in Boum sur Paris, next to Jacques Pills and Armand Bernard. That same year, she had her first hit record with ""Bonbons, caramels, esquimaux, chocolats"" or ""Léon"".

In 1954 she starred in April Fools' Day as Charlotte Dupuy, alongside her friend Bourvil, Louis de Funès, Denise Grey, and Maurice Biraud. The film was a big success with almost three million ticket sales. She also played Madame Langlois in Sacha Guitry's Royal Affairs in Versailles, with  Michel Auclair,  Jean-Pierre Aumont, Jean-Louis Barrault, Bourvil, Gino Cervi, Claudette Colbert, Nicole Courcel, Daniel Gélin, Jean Marais, Gisèle Pascal, Édith Piaf, Gérard Philipe, Micheline Presle, Tino Rossi, Orson Welles, and Nicole Maurey. The film was the #1 movie in France in 1954. It is still one of the 100 most successful films at the French box office of all time, the 89th highest grossing title.

In 1955 her song ""Fleur de Papillon"" became a hit. She also starred in two motion pictures. First, Hello Smile ! directed by Claude Sautet, with Henri Salvador, Louis de Funès, Darry Cowl and Jean Carmet and an Italian comedy, Beautiful but Dangerous, in which she just made a short appearance.

In 1956 she starred as Cri-Cri in Le Chanteur de Mexico, directed by Richard Pottier, with Luis Mariano, Bourvil, and Fernando Rey. The film was again a big success, with almost 5,000,000 tickets sold, and it was #5 at the box office for 1956 and #247 of all time in France.

At the same time she had a hit on the song charts with the French version of The Ballad of Davy Crockett, which stayed at number 1 for 5 weeks in France in August 1956.

In 1957 she played Titine in a West German remake of Victor and Victoria, directed by Karl Anton. That same year, she starred in her second musical, ""Tête de linotte"" with Jean Richard which lasted until 1960. ...

Source: Article ""Annie Cordy"" from Wikipedia in English, licensed under CC-BY-SA.",1928-06-16,2020-09-04,34677.0,Acting,"Bruxelles, Belgium",1.0006,https://image.tmdb.org/t/p/w500//cY9MyLEpMmiRLi7FHP1QhNtR33s.jpg
